epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8743,1.27553,3.46651,1.60422,0.00785,0.93333,0.06269,0.03013,0.91456,3.40551,1.45012,0.09208,8e-05,8e-05
2,15.5773,1.09976,3.3244,1.49598,0.00736,0.71111,0.05118,0.02508,0.7712,3.34441,1.36014,0.0831683,0.000168317,0.000168317
3,19.4573,1.00466,3.25868,1.4543,0.01419,0.64444,0.0654,0.03276,0.67802,3.29581,1.26782,0.0742549,0.000254852,0.000254852
4,22.7162,0.93691,3.20917,1.39759,0.0024,0.59286,0.06463,0.03195,0.636,3.25264,1.24007,0.0653396,0.000339605,0.000339605
5,28.1567,0.79397,3.13839,1.32079,0.00247,0.6,0.06287,0.04071,0.61488,3.19902,1.20482,0.0564226,0.000422576,0.000422576
6,32.7394,0.65225,3.03092,1.2562,0.00242,0.6,0.07564,0.05097,0.6156,3.14691,1.19516,0.0475038,0.000503765,0.000503765
7,36.1412,0.63093,2.96638,1.21977,0.00233,0.6,0.10201,0.06612,0.60893,3.11484,1.16536,0.0385832,0.000583172,0.000583172
8,39.3677,0.62849,2.92355,1.23112,0.00226,0.6,0.14749,0.1031,0.58504,3.07417,1.15035,0.0296608,0.000660797,0.000660797
9,43.7376,0.53622,2.82018,1.15212,0.00224,0.6,0.17441,0.13489,0.57013,3.00032,1.13781,0.0207366,0.00073664,0.00073664
10,49.475,0.54341,2.71251,1.17614,0.0165,0.62222,0.19013,0.14,0.60654,2.93468,1.18609,0.0118107,0.000810701,0.000810701
11,53.1829,0.54871,2.60623,1.16756,0.04223,0.81111,0.26683,0.20427,0.6678,2.8643,1.21881,0.00288298,0.00088298,0.00088298
12,56.3631,0.50245,2.48077,1.15138,0.56437,0.25845,0.36779,0.2704,0.62489,2.59788,1.19981,0.0008911,0.0008911,0.0008911
13,60.4356,0.49892,2.34948,1.12785,0.59265,0.46429,0.33392,0.28281,0.60437,2.41906,1.15546,0.0008812,0.0008812,0.0008812
14,66.1295,0.50767,2.2643,1.14408,0.65845,0.43523,0.37,0.31472,0.62701,2.4433,1.18648,0.0008713,0.0008713,0.0008713
15,70.1102,0.52578,2.16696,1.1169,0.73242,0.34426,0.37989,0.3268,0.59843,2.4369,1.13637,0.0008614,0.0008614,0.0008614
16,73.5173,0.4833,2.01579,1.08979,0.70722,0.36877,0.41355,0.3518,0.60715,2.49572,1.1379,0.0008515,0.0008515,0.0008515
17,77.0206,0.5112,1.94674,1.12909,0.76636,0.35782,0.46497,0.41058,0.59168,2.48901,1.14401,0.0008416,0.0008416,0.0008416
18,81.8712,0.48695,1.87367,1.09956,0.81966,0.41925,0.51669,0.4694,0.59318,2.38277,1.14852,0.0008317,0.0008317,0.0008317
19,87.2022,0.43678,1.71114,1.04672,0.81177,0.42,0.52238,0.47518,0.5787,2.319,1.14042,0.0008218,0.0008218,0.0008218
20,90.5607,0.44928,1.70556,1.05486,0.7521,0.47659,0.4952,0.43579,0.61936,2.23371,1.15517,0.0008119,0.0008119,0.0008119
21,93.8656,0.46625,1.63176,1.07365,0.81677,0.46756,0.53198,0.45625,0.57879,2.1882,1.11538,0.000802,0.000802,0.000802
22,97.8278,0.45762,1.61994,1.04915,0.83808,0.51143,0.54843,0.46657,0.55598,2.16729,1.10291,0.0007921,0.0007921,0.0007921
23,103.287,0.44324,1.46546,1.05984,0.83907,0.4663,0.55292,0.4883,0.51968,2.15246,1.07546,0.0007822,0.0007822,0.0007822
24,107.233,0.39941,1.38722,1.02207,0.83102,0.47714,0.57696,0.51536,0.52762,2.09155,1.08931,0.0007723,0.0007723,0.0007723
25,110.621,0.4398,1.40657,1.05855,0.8185,0.55143,0.61177,0.55495,0.53918,2.02217,1.1063,0.0007624,0.0007624,0.0007624
26,113.76,0.4131,1.33743,1.0183,0.83562,0.58537,0.63639,0.58419,0.52155,1.94947,1.07578,0.0007525,0.0007525,0.0007525
27,119.086,0.4137,1.3108,1.03481,0.85655,0.54901,0.63542,0.58536,0.53331,1.90536,1.08742,0.0007426,0.0007426,0.0007426
28,123.781,0.40883,1.40817,1.04829,0.90619,0.55606,0.66245,0.60774,0.53452,1.83525,1.10296,0.0007327,0.0007327,0.0007327
29,127.271,0.42825,1.27447,1.04135,0.8966,0.56224,0.6084,0.56146,0.5222,1.78766,1.09373,0.0007228,0.0007228,0.0007228
30,130.373,0.40113,1.26714,1.04312,0.88803,0.58214,0.60378,0.5368,0.52911,1.74682,1.12224,0.0007129,0.0007129,0.0007129
31,134.752,0.38585,1.26342,1.02457,0.89943,0.57857,0.63248,0.57901,0.49848,1.68912,1.07801,0.000703,0.000703,0.000703
32,139.746,0.40779,1.14874,1.0233,0.90752,0.56463,0.6099,0.54649,0.5307,1.67818,1.07526,0.0006931,0.0006931,0.0006931
33,143.838,0.41461,1.22305,1.04428,0.89566,0.53705,0.6063,0.54376,0.56649,1.66781,1.10929,0.0006832,0.0006832,0.0006832
34,147.097,0.39388,1.19508,1.02304,0.93738,0.50961,0.5973,0.52504,0.58749,1.66036,1.13968,0.0006733,0.0006733,0.0006733
35,150.524,0.38445,1.17667,1.00424,0.93676,0.48196,0.5734,0.48071,0.64099,1.76933,1.17688,0.0006634,0.0006634,0.0006634
36,155.256,0.37453,1.16083,1.01712,0.92397,0.53601,0.62046,0.55714,0.55933,1.59278,1.11815,0.0006535,0.0006535,0.0006535
37,160.219,0.355,1.11225,0.99754,0.89919,0.57857,0.64063,0.58437,0.52882,1.56785,1.08221,0.0006436,0.0006436,0.0006436
38,163.387,0.37335,1.10891,1.00941,0.89282,0.57857,0.64523,0.59279,0.48252,1.5727,1.03757,0.0006337,0.0006337,0.0006337
1,12.9971,1.119,3.35924,1.5098,0.00359,0.86413,0.17435,0.07635,1.38689,3.48318,2.09836,0.09204,4e-05,4e-05
2,19.2206,0.60956,2.48159,1.21386,0.00375,0.87841,0.1203,0.06884,1.51395,3.99566,2.51146,0.0830842,8.41585e-05,8.41585e-05
3,23.2494,0.56456,2.1865,1.17366,0.00324,0.70556,0.11055,0.062,1.08264,3.7283,1.87349,0.0741274,0.000127426,0.000127426
1,7.59159,1.119,3.35924,1.5098,0.00359,0.86413,0.17435,0.07635,1.38689,3.48318,2.09836,0.09204,4e-05,4e-05
2,12.3043,0.60647,2.48436,1.21277,0.00374,0.87841,0.14698,0.07063,1.52556,4.03016,2.56363,0.0830833,8.3317e-05,8.3317e-05
3,18.8985,0.5711,2.20742,1.18282,0.00317,0.70556,0.11011,0.06139,1.04352,3.73019,1.85185,0.0741249,0.000124852,0.000124852
4,25.5706,0.60923,1.98554,1.19392,0.00401,0.65952,0.13121,0.06733,1.02174,3.41329,1.57223,0.0651646,0.000164605,0.000164605
5,29.6314,0.57582,1.73964,1.12683,0.08176,0.50079,0.23595,0.16042,0.79203,3.06894,1.43316,0.0562026,0.000202576,0.000202576
6,34.6017,0.51593,1.54998,1.11319,0.31938,0.14714,0.17885,0.13074,0.73481,2.84569,1.3439,0.0472388,0.000238765,0.000238765
7,40.3143,0.49612,1.33392,1.0691,0.40174,0.17247,0.23976,0.18329,0.66371,2.68149,1.26134,0.0382732,0.000273172,0.000273172
8,43.6562,0.50661,1.25748,1.09179,0.41879,0.30767,0.23876,0.16775,0.73126,2.67442,1.3312,0.0293058,0.000305797,0.000305797
9,47.1831,0.4898,1.14512,1.05019,0.52323,0.41651,0.31378,0.22539,0.7714,2.53682,1.3396,0.0203366,0.00033664,0.00033664
10,51.6335,0.47746,1.14748,1.08142,0.42779,0.40016,0.32051,0.24264,0.70918,2.40238,1.2501,0.0113657,0.000365701,0.000365701
11,57.6136,0.48662,1.01064,1.07651,0.56705,0.44742,0.46139,0.35164,0.72906,2.01702,1.30021,0.00239298,0.00039298,0.00039298
12,61.7283,0.45685,1.01012,1.07603,0.68497,0.54679,0.5983,0.47449,0.70241,1.66059,1.27102,0.0003911,0.0003911,0.0003911
13,65.1425,0.46224,1.01426,1.05643,0.52679,0.62499,0.6024,0.53927,0.59477,1.57131,1.17941,0.0003812,0.0003812,0.0003812
14,68.6614,0.43812,0.96034,1.05589,0.79613,0.6324,0.63767,0.56735,0.56875,1.6678,1.13945,0.0003713,0.0003713,0.0003713
15,74.2257,0.46698,1.02284,1.04459,0.84791,0.62823,0.72654,0.63711,0.53159,1.53001,1.11165,0.0003614,0.0003614,0.0003614
16,78.8586,0.44227,0.92297,1.03124,0.72093,0.66175,0.66974,0.585,0.58893,1.57983,1.15435,0.0003515,0.0003515,0.0003515
17,82.4497,0.45169,0.91606,1.05411,0.93679,0.52007,0.68231,0.60799,0.55174,1.6067,1.12718,0.0003416,0.0003416,0.0003416
18,85.9777,0.45597,0.90214,1.04965,0.93861,0.53286,0.69488,0.60869,0.5273,1.54252,1.08306,0.0003317,0.0003317,0.0003317
19,90.2905,0.42311,0.82948,1.01621,0.66918,0.65918,0.70976,0.62979,0.54092,1.4799,1.11758,0.0003218,0.0003218,0.0003218
20,96.3487,0.43317,0.83345,1.01888,0.78436,0.72506,0.69116,0.60675,0.57961,1.43186,1.13587,0.0003119,0.0003119,0.0003119
21,100.258,0.43785,0.82964,1.04511,0.84344,0.72236,0.69676,0.61424,0.55818,1.41288,1.13267,0.000302,0.000302,0.000302
22,103.827,0.41612,0.81299,1.00136,0.8169,0.69857,0.71676,0.60282,0.57945,1.48664,1.13288,0.0002921,0.0002921,0.0002921
23,107.328,0.41296,0.76561,1.02212,0.8395,0.66249,0.73287,0.60897,0.58431,1.5609,1.09847,0.0002822,0.0002822,0.0002822
24,112.65,0.36989,0.75156,0.99193,0.84237,0.73333,0.74751,0.66236,0.48684,1.38392,1.01728,0.0002723,0.0002723,0.0002723
25,117.327,0.40955,0.7518,1.01921,0.90009,0.72578,0.77658,0.71912,0.45702,1.24112,1.03176,0.0002624,0.0002624,0.0002624
26,120.743,0.38971,0.74894,0.99675,0.84739,0.72761,0.78542,0.71694,0.4647,1.19075,1.04344,0.0002525,0.0002525,0.0002525
27,124.365,0.39956,0.70452,1.02208,0.86852,0.74054,0.77235,0.70084,0.51015,1.19686,1.07711,0.0002426,0.0002426,0.0002426
28,128.963,0.37321,0.75131,1.01147,0.88529,0.72633,0.7587,0.68847,0.55189,1.22489,1.09524,0.0002327,0.0002327,0.0002327
29,134.543,0.40355,0.67976,1.01362,0.8806,0.75402,0.76837,0.70447,0.55193,1.22275,1.09409,0.0002228,0.0002228,0.0002228
30,138.152,0.37824,0.67655,1.01355,0.89896,0.71867,0.77958,0.7245,0.52003,1.2172,1.06665,0.0002129,0.0002129,0.0002129
31,141.663,0.36409,0.67966,1.00162,0.92607,0.68597,0.79158,0.73627,0.50092,1.22355,1.05597,0.000203,0.000203,0.000203
32,145.806,0.38296,0.65524,1.00611,0.90856,0.74394,0.79702,0.73142,0.51801,1.16493,1.07231,0.0001931,0.0001931,0.0001931
